ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1993-07-01,129050.70399161338,111724.85643336913,149738.4743923957,129050.70399161338,129050.70399161338,585.0853769142246,585.0853769142246,585.0853769142246,585.0853769142246,585.0853769142246,585.0853769142246,0.0,0.0,0.0,129635.7893685276
1993-10-01,130336.26235892499,114100.27698096579,153434.23990962855,130336.26235892499,130336.26235892499,2952.9867081633824,2952.9867081633824,2952.9867081633824,2952.9867081633824,2952.9867081633824,2952.9867081633824,0.0,0.0,0.0,133289.24906708836
1994-01-01,131621.8207262366,116014.53880832002,153220.52521502218,131621.8207262366,131621.8207262366,1884.5548749995166,1884.5548749995166,1884.5548749995166,1884.5548749995166,1884.5548749995166,1884.5548749995166,0.0,0.0,0.0,133506.3756012361
1994-04-01,132879.43217251968,115119.23238622701,152524.3136107349,132879.43217251968,132879.43217251968,1798.5492753751753,1798.5492753751753,1798.5492753751753,1798.5492753751753,1798.5492753751753,1798.5492753751753,0.0,0.0,0.0,134677.98144789485
1994-07-01,134151.017079317,115103.78024637567,152416.00016692307,134151.017079317,134151.017079317,1039.8746902616597,1039.8746902616597,1039.8746902616597,1039.8746902616597,1039.8746902616597,1039.8746902616597,0.0,0.0,0.0,135190.89176957868
1994-10-01,135436.57544662862,120219.94754838741,157822.35161995,135436.57544662862,135436.57544662862,2494.888084567229,2494.888084567229,2494.888084567229,2494.888084567229,2494.888084567229,2494.888084567229,0.0,0.0,0.0,137931.46353119586
1995-01-01,136891.00846779163,119287.84193777251,155658.746145032,136891.00846779163,136891.00846779163,1022.5673303064634,1022.5673303064634,1022.5673303064634,1022.5673303064634,1022.5673303064634,1022.5673303064634,0.0,0.0,0.0,137913.57579809809
1995-04-01,138313.8233797989,120056.94536569032,160630.6764172003,138313.8233797989,138313.8233797989,2464.4124082500075,2464.4124082500075,2464.4124082500075,2464.4124082500075,2464.4124082500075,2464.4124082500075,0.0,0.0,0.0,140778.2357880489
1995-07-01,139752.44734638405,121904.72840790745,160107.12342652027,139752.44734638405,139752.44734638405,1497.9513211213382,1497.9513211213382,1497.9513211213382,1497.9513211213382,1497.9513211213382,1497.9513211213382,0.0,0.0,0.0,141250.3986675054
1995-10-01,141206.88036754707,123804.90532250957,162980.382128405,141206.88036754707,141206.88036754707,2033.741344178188,2033.741344178188,2033.741344178188,2033.741344178188,2033.741344178188,2033.741344178188,0.0,0.0,0.0,143240.62171172525
